Kialakítás,SIM kártya típusa,Processzor típusa,Processzormagok száma,Processzor sebessége,RAM,Belső memória mérete,Memória bővíthető,URL,Operációs rendszer,Memóriakártya típusa,Kijelzők száma,Kijelző mérete,Kijelző felbontása,Kijelző technológia
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 EliteGPU: Adreno 830,8 magos,4.47 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s25-ultra-5g-512gb-12gb-ram-dual-sm-s938-p1170025318/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Google Tensor G4GPU: Mali-G715 MC7,8 magos,3.1 GHz,16 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/google/pixel-9-pro-xl-5g-512gb-16gb-ram-dual-p1114774369/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 EliteGPU: Adreno 830,8 magos,4.47 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s25-ultra-5g-256gb-12gb-ram-dual-sm-s938-p1170025309/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A18,6 magos,,8 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-16-512gb-p1121764174/#termek-leiras,iOS,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A18 Pro,6 magos,4.04 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-16-pro-max-256gb-p1121765077/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 EliteGPU: Adreno 830,8 magos,4.32 GHz,16 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/oneplus/13-5g-512gb-16gb-ram-dual-p1160498788/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Samsung Exynos 2200GPU: Xclipse 920,8 magos,2.8 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s22-ultra-5g-256gb-12gb-ram-dual-sm-s908b-p766823799/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A17 Pro,6 magos,3.78 GHz,8 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-15-pro-max-512gb-p996937291/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.3 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/sony/xperia-1-vi-5g-256gb-12gb-ram-dual-p1080034564/#termek-leiras,,microSD,,,,
Összecsukható,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 2GPU: Adreno 740,8 magos,3.36 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-z-fold5-5g-512gb-12gb-ram-dual-sm-f946b-p982757253/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 2GPU: Adreno 740,8 magos,3.36 GHz,12 GB,1000 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s23-ultra-5g-1tb-12gb-ram-dual-sm-s918-p915887316/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A17 Pro,6 magos,3.78 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-15-pro-256gb-p996937021/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A18 Pro,6 magos,4.04 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-16-pro-256gb-p1121764717/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A17 Pro,6 magos,3.78 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-15-pro-128gb-p996937006/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Samsung Exynos 2200GPU: Xclipse 920,8 magos,2.8 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s22-ultra-5g-128gb-8gb-ram-dual-sm-s908b-p762924042/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A17 Pro,6 magos,3.78 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-15-pro-max-256gb-p996937204/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 2GPU: Adreno 740,8 magos,3.2 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/sony/xperia-1-v-5g-256gb-12gb-ram-dual-p967118736/#termek-leiras,,microSD,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A16 Bionic,6 magos,3.46 GHz,6 GB,1000 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-14-pro-1tb-p852585042/#termek-leiras,,,,,,
Összecsukható,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 2GPU: Adreno 740,8 magos,3.36 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-z-fold5-5g-256gb-12gb-ram-dual-sm-f946b-p982757142/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 EliteGPU: Adreno 830,8 magos,4.47 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s25-5g-256gb-12gb-ram-dual-sm-s936-p1170025150/#termek-leiras,,,,,,
Összecsukható,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8+ Gen 1GPU: Adreno 730,8 magos,3.19 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-z-flip4-5g-256gb-8gb-ram-dual-f721-p841834017/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A16 Bionic,6 magos,3.46 GHz,6 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-15-plus-512gb-p996936991/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A16 Bionic,6 magos,3.46 GHz,6 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-15-512gb-p996936952/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A16 Bionic,6 magos,3.46 GHz,6 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-14-pro-max-512gb-p852585303/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.3 GHz,16 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/14-ultra-5g-512gb-16gb-ram-dual-p1052330467/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.23 GHz,6 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-14-512gb-p852631131/#termek-leiras,,,,,,
Összecsukható,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8+ Gen 1GPU: Adreno 730,8 magos,3.19 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-z-flip4-5g-128gb-8gb-ram-dual-f721-p841833855/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A18,6 magos,,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-16-plus-256gb-p1121764462/#termek-leiras,iOS,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A18 Pro,6 magos,4.04 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-16-pro-128gb-p1121764603/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 EliteGPU: Adreno 830,8 magos,4.47 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s25-5g-512gb-12gb-ram-dual-sm-s936-p1170025300/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A16 Bionic,6 magos,3.46 GHz,6 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-14-pro-max-256gb-p852585255/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Google Tensor G4GPU: Mali-G715 MC7,8 magos,3.1 GHz,16 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/google/pixel-9-pro-xl-5g-256gb-16gb-ram-dual-p1114774009/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Samsung Exynos 2200GPU: Xclipse 920,8 magos,2.8 GHz,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s22-5g-128gb-8gb-ram-dual-sm-s906b-p762924054/#termek-leiras,,,,,,
Összecsukható,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8+ Gen 1GPU: Adreno 730,8 magos,3.19 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-z-fold4-5g-256gb-12gb-ram-dual-sm-f936-p841779084/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.3 GHz,16 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/oneplus/12-5g-512gb-16gb-ram-dual-p1032691768/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 2GPU: Adreno 740,8 magos,3.36 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s23-ultra-5g-256gb-8gb-ram-dual-sm-s918b-p920648148/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.39 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s24-ultra-5g-512gb-12gb-ram-dual-sm-s928b-p1038738943/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A16 Bionic,6 magos,3.46 GHz,6 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-14-pro-512gb-p852584964/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A18,6 magos,,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-16-plus-128gb-p1121764243/#termek-leiras,iOS,,,,,
Összecsukható,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 2GPU: Adreno 740,8 magos,3.2 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-z-flip5-5g-256gb-8gb-ram-dual-sm-f731b-p982756128/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Samsung Exynos 2100GPU: Mali-G78 MP14,8 magos,2.9 GHz,12 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s21-ultra-128gb-12gb-ram-dual-g998-p621996963/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A16 Bionic,6 magos,3.46 GHz,6 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-15-plus-256gb-p996936982/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A18,6 magos,,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-16-256gb-p1121764021/#termek-leiras,iOS,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 2GPU: Adreno 740,8 magos,3.19 GHz,16 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/honor/magic-v2-5g-512gb-16gb-ram-dual-p1044065605/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Google Tensor G4GPU: Mali-G715 MC7,8 magos,3.1 GHz,16 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/google/pixel-9-pro-xl-5g-128gb-16gb-ram-dual-p1114773991/#termek-leiras,,,,,,
Összecsukható,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.3 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-z-flip6-5g-512gb-12gb-ram-dual-sm-f741b-p1102673581/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.23 GHz,6 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-13-pro-max-256gb-p706181832/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Samsung Exynos 2400GPU: Xclipse 940,10 magos,3.3 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s24-5g-512gb-12gb-ram-dual-sm-s926b-p1038739072/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 EliteGPU: Adreno 830,8 magos,4.47 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s25-5g-512gb-12gb-ram-dual-sm-s931-p1170025129/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.3 GHz,16 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/zte/nubia-z60-ultra-5g-512gb-16gb-ram-dual-p1040736601/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.39 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s24-ultra-5g-256gb-12gb-ram-dual-sm-s928b-p1038738604/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Google Tensor G4GPU: Mali-G715 MC7,8 magos,3.1 GHz,16 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/google/pixel-9-pro-5g-128gb-16gb-ram-dual-p1114773970/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 EliteGPU: Adreno 830,8 magos,4.47 GHz,12 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s25-5g-128gb-12gb-ram-dual-sm-s931-p1170024967/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Samsung Exynos 2400GPU: Xclipse 940,10 magos,3.3 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s24-5g-256gb-12gb-ram-dual-sm-s926b-p1038739033/#termek-leiras,,,,,,
Összecsukható,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8s Gen 3GPU: Adreno 735,8 magos,3 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/motorola/razr-50-ultra-5g-512gb-12gb-ram-dual-p1091759965/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A16 Bionic,6 magos,3.46 GHz,6 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-15-256gb-p996936895/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.3 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/honor/magic6-pro-5g-512gb-12gb-ram-dual-p1052330362/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A16 Bionic,6 magos,3.46 GHz,6 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-15-plus-128gb-p996936973/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 EliteGPU: Adreno 830,8 magos,4.47 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s25-5g-256gb-12gb-ram-dual-sm-s931-p1170025066/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A18,6 magos,,8 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-16-128gb-p1121763568/#termek-leiras,iOS,,,,,
Összecsukható,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.3 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-z-flip6-5g-256gb-12gb-ram-dual-sm-f741b-p1102673530/#termek-leiras,,,,,,
Összecsukható,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 2GPU: Adreno 740,8 magos,3.2 GHz,8 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-z-flip5-5g-512gb-8gb-ram-dual-sm-f731b-p982756515/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Google Tensor G4GPU: Mali-G715 MC7,8 magos,3.1 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/google/pixel-9-5g-256gb-12gb-ram-dual-p1114773967/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.23 GHz,6 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-14-plus-512gb-p852631899/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.23 GHz,6 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-13-pro-max-128gb-p706181823/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.3 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/14-5g-512gb-12gb-ram-dual-p1052026249/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Samsung Exynos 2400eGPU: Samsung Xclipse 940,10 magos,3.11 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s24-fe-5g-256gb-8gb-ram-sm-s721b-p1130866534/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.23 GHz,6 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-14-plus-256gb-p852631788/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.23 GHz,6 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-14-256gb-p852630852/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 888GPU: Adreno 660,8 magos,2.84 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/samsung/galaxy-s21-fe-5g-256gb-8gb-ram-dual-sm-g990b-p755184186/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.23 GHz,4 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-13-256gb-p706181778/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A16 Bionic,6 magos,3.46 GHz,6 GB,128 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-15-128gb-p996936880/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.23 GHz,4 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-13-mini-256gb-p706181742/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 2GPU: Adreno 740,8 magos,3.2 GHz,12 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/honor/magic5-pro-5g-512gb-12gb-ram-dual-p945752337/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 3GPU: Adreno 750,8 magos,3.3 GHz,12 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/xiaomi/14-5g-256gb-12gb-ram-dual-p1025156125/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM,SoC/CPU: Qualcomm Snapdragon 8 Gen 2GPU: Adreno 740,8 magos,3.2 GHz,8 GB,256 GB,,https://www.arukereso.hu/mobiltelefon-c3277/asus/zenfone-10-5g-256gb-8gb-ram-dual-p977360274/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Apple A15 Bionic,6 magos,3.23 GHz,4 GB,512 GB,,https://www.arukereso.hu/mobiltelefon-c3277/apple/iphone-13-512gb-p706181793/#termek-leiras,,,,,,
Érintőképernyős,nano-SIM és eSIM,SoC/CPU: Qualcomm Snapdragon 8s Gen 3GPU: Adreno 735,8 magos,3 GHz,16 GB,1000 GB,,https://www.arukereso.hu/mobiltelefon-c3277/motorola/edge-50-ultra-5g-1tb-16gb-ram-dual-p1070517880/#termek-leiras,,,,,,
